rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-324-5p|0_MIMAT0000761,20.7429053873367,-0.971609302204543,0.203120128845135,-4.78342204550946,1.72335745584729e-06,0.000189569320143202
Endogenous1_hsa-miR-518b|0_MIMAT0002844,18.3890592329356,-0.833344328102447,0.239486774063064,-3.47970918796125,0.000501958325670303,0.0276077079118667
Endogenous1_hsa-miR-122-5p|0.008_MIMAT0000421,1333.27572536287,0.859789758004213,0.333207481740998,2.58034349502551,0.00987020840152591,0.361907641389283
Endogenous1_hsa-miR-107|0_MIMAT0000104,60.9553520667335,0.652113833893091,0.263855245587215,2.47148330305808,0.0134553834505878,0.370023044891166
Endogenous1_hsa-let-7f-5p|0_MIMAT0000067,51.2057644621908,0.584430549312863,0.253887404301601,2.30192809651399,0.0213392274346436,0.376950383653437
Endogenous1_hsa-miR-148b-3p|0_MIMAT0000759,37.0918404189473,0.54887352651875,0.242415442343878,2.26418548757362,0.0235627087889066,0.376950383653437
Endogenous1_hsa-miR-520f-3p|0_MIMAT0002830,56.0959691773538,-0.687139320216588,0.304404199589867,-2.25732536260141,0.0239877516870369,0.376950383653437
Endogenous1_hsa-miR-22-3p|0_MIMAT0000077,95.33352365648,0.511694714547295,0.243591036286628,2.10063031196762,0.0356734310354681,0.464977712166639
Endogenous1_hsa-miR-223-3p|0_MIMAT0000280,2491.47724975624,0.654708178043447,0.324644408178539,2.01669322356967,0.043727537542868,0.464977712166639
Endogenous1_hsa-miR-125a-5p|0_MIMAT0000443,49.1516036807982,0.561776978613987,0.279142474134556,2.01250984951574,0.0441662194617089,0.464977712166639
Endogenous1_hsa-miR-450a-5p|0_MIMAT0001545,25.1536795421249,-0.565064529423923,0.289401477032338,-1.952528146084,0.0508755326552458,0.464977712166639
Endogenous1_hsa-miR-145-5p|0_MIMAT0000437,29.6224666163559,0.457619057374729,0.242347964073305,1.88827275328919,0.0589893431777162,0.464977712166639
Endogenous1_hsa-miR-378i|0_MIMAT0019074,37.1080040869447,-0.574200666091561,0.306436832838601,-1.87379780939712,0.0609582984612037,0.464977712166639
Endogenous1_hsa-miR-149-5p|0_MIMAT0000450,55.6039385130071,-0.626703605587517,0.335091021142725,-1.87024887581391,0.0614492653563955,0.464977712166639
Endogenous1_hsa-miR-331-3p|0_MIMAT0000760,16.9482249042965,0.440884414093109,0.237502818659793,1.85633339671917,0.0634060516590872,0.464977712166639
Endogenous1_hsa-let-7g-5p|0_MIMAT0000414,286.441116452966,0.520850135986558,0.287013579112982,1.81472297441901,0.0695664925836448,0.478269636512558
Endogenous1_hsa-miR-1976|0_MIMAT0009451,193.636227128185,-0.520127557041291,0.294755692976571,-1.76460563590415,0.0776300676261919,0.502312202287124
Endogenous1_hsa-miR-574-3p|0_MIMAT0003239,21.0924239890204,-0.446433885270067,0.25804008053162,-1.73009512456481,0.083613281171706,0.505741394447561
Endogenous1_hsa-miR-409-3p|0_MIMAT0001639,16.8863440800096,-0.435532061949459,0.254769158944323,-1.70951642559153,0.0873553317682151,0.505741394447561
Endogenous1_hsa-miR-150-5p|0_MIMAT0000451,151.987515828554,-0.523226754468706,0.31241884799623,-1.67476052685215,0.0939812265103201,0.51689674580676
Endogenous1_hsa-let-7e-5p|0_MIMAT0000066,35.6127444625262,0.427172239747299,0.259727198235605,1.6446958295057,0.100032553305587,0.523980041124502
Endogenous1_hsa-miR-197-3p|0_MIMAT0000227,30.4017060361515,0.389228537991309,0.245525704659986,1.58528630853674,0.112901298378407,0.564506491892037
Endogenous1_hsa-miR-221-3p|0_MIMAT0000278,107.386722752623,0.389762045858546,0.272497280877062,1.43033370683206,0.152621265026131,0.613694624833051
Endogenous1_hsa-miR-192-5p|0_MIMAT0000222,39.000698065081,-0.453679967402148,0.328814825023092,-1.37974304342965,0.167665774905649,0.613694624833051
Endogenous1_hsa-miR-18a-5p|0_MIMAT0000072,29.4471115762826,-0.287834125586789,0.209345772240196,-1.37492208467692,0.169155601658125,0.613694624833051
Endogenous1_hsa-miR-30e-5p|0_MIMAT0000692,33.9820235406287,-0.389693279718008,0.285547545261984,-1.36472291982224,0.172340153092145,0.613694624833051
Endogenous1_hsa-miR-130a-3p|0_MIMAT0000425,225.553728218478,0.399221478306838,0.296187366379143,1.34786801742179,0.177700836367653,0.613694624833051
Endogenous1_hsa-miR-146a-5p|0_MIMAT0000449,160.476909737353,0.377043041811072,0.281724662296296,1.33833878346983,0.180786024531255,0.613694624833051
Endogenous1_hsa-miR-24-3p|0_MIMAT0000080,49.3625536355959,-0.315467113037896,0.237838752184454,-1.32639071698979,0.184710312042366,0.613694624833051
Endogenous1_hsa-miR-28-3p|0_MIMAT0004502,20.9293722912786,-0.319279365803445,0.243467018874849,-1.3113865166582,0.189727211855463,0.613694624833051
Endogenous1_hsa-miR-382-5p|0_MIMAT0000737,44.2500443373653,-0.339513203709742,0.258986753999442,-1.31092883503406,0.189881807849921,0.613694624833051
Endogenous1_hsa-miR-664a-3p|0_MIMAT0005949,26.084198813207,-0.309010746402995,0.235896010240847,-1.30994477646103,0.190214518031716,0.613694624833051
Endogenous1_hsa-miR-23a-3p|0_MIMAT0000078,463.840478429541,0.379350607173896,0.289796845323144,1.30902255595948,0.190526710313984,0.613694624833051
Endogenous1_hsa-miR-432-5p|0_MIMAT0002814,25.2716396544936,-0.35444086151353,0.272533446417055,-1.30054078196014,0.193415688229439,0.613694624833051
