rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-122-5p|0.008_MIMAT0000421,1291.47108148989,-0.833159158587226,0.261407563844045,-3.18720371490202,0.0014365555538985,0.127276620562538
Endogenous1_hsa-miR-485-3p|0_MIMAT0002176,19.4506966940429,0.600035408366335,0.196949666211163,3.04664343895357,0.00231412037386432,0.127276620562538
Endogenous1_hsa-miR-99b-5p|0_MIMAT0000689,24.579589716145,0.497907868827762,0.176621299077951,2.81907035803203,0.00481629598381044,0.176597519406383
Endogenous1_hsa-miR-331-3p|0_MIMAT0000760,15.9412130238567,0.442817528267243,0.178358006478535,2.48274544557961,0.0130374216093364,0.348320563402366
Endogenous1_hsa-miR-423-3p|0_MIMAT0001340,51.1520442827608,0.325681052535563,0.135821243181937,2.39786534790661,0.0164909261675269,0.348320563402366
Endogenous1_hsa-miR-374a-5p|0_MIMAT0000727,144.118885254388,-0.450133211782345,0.196279393909702,-2.29332892677175,0.0218290750622586,0.348320563402366
Endogenous1_hsa-miR-26a-5p|0_MIMAT0000082,163.068883364046,-0.497858664252293,0.220697435681008,-2.25584254169536,0.0240804940191954,0.348320563402366
Endogenous1_hsa-miR-1260b|0_MIMAT0015041,16.0461511083019,0.357227524454767,0.16010989195158,2.23113962604384,0.0256718816357185,0.348320563402366
Endogenous1_hsa-miR-29b-3p|0_MIMAT0000100,37.8930971815397,-0.393127578417473,0.179999880967376,-2.18404354661059,0.0289590483350834,0.348320563402366
Endogenous1_hsa-miR-15a-5p|0_MIMAT0000068,104.034231232303,-0.459406963718354,0.215533451498736,-2.13148799188161,0.0330489606719964,0.348320563402366
Endogenous1_hsa-miR-106b-5p|0_MIMAT0000680,28.9002941332,-0.275546783583127,0.130571992042719,-2.11030542823439,0.0348320563402366,0.348320563402366
Endogenous1_hsa-let-7i-5p|0_MIMAT0000415,253.1099127979,-0.46365285343085,0.229645446114837,-2.01899432919299,0.0434878089154938,0.371636986225751
Endogenous1_hsa-miR-766-3p|0_MIMAT0003888,18.0594936898403,0.349521697340866,0.173473114068315,2.01484650355226,0.0439207347357705,0.371636986225751
Endogenous1_hsa-miR-26b-5p|0_MIMAT0000083,64.4155527343402,-0.301786117040609,0.15780812123802,-1.91236112991567,0.0558298900148475,0.409152651654872
Endogenous1_hsa-miR-142-3p|0_MIMAT0000434,551.070292737401,-0.45993886488795,0.242623089713573,-1.89569288492256,0.0580006667097479,0.409152651654872
Endogenous1_hsa-miR-146a-5p|0_MIMAT0000449,146.869556663334,-0.429549030391897,0.229025161005317,-1.87555388458792,0.060716563772415,0.409152651654872
Endogenous1_hsa-miR-25-3p|0_MIMAT0000081,162.551886688019,-0.336028895084938,0.180898797665299,-1.85755184347141,0.0632326825284802,0.409152651654872
Endogenous1_hsa-miR-22-3p|0_MIMAT0000077,89.2382051448894,-0.324237501386105,0.184604141039513,-1.75639343494848,0.0790212530537284,0.471500986426571
Endogenous1_hsa-miR-16-5p|0_MIMAT0000069,631.823153561912,-0.325300698323744,0.18669850671759,-1.74238511085582,0.0814410794736805,0.471500986426571
Endogenous1_hsa-miR-145-5p|0_MIMAT0000437,27.2699884425342,-0.315987382637881,0.184889636261863,-1.70905946394065,0.0874399352564183,0.4809196439103
Endogenous1_hsa-miR-197-3p|0_MIMAT0000227,27.0023289680409,0.275815405947376,0.164554984213469,1.67612915078631,0.0937128979580772,0.488028903346168
Endogenous1_hsa-let-7f-5p|0_MIMAT0000067,46.8866126633327,-0.328766615558841,0.199618292705177,-1.64697639231094,0.0995628983436505,0.488028903346168
Endogenous1_hsa-miR-126-3p|0_MIMAT0000445,993.438703270104,-0.406657552186944,0.251523366876718,-1.6167784219677,0.105926118804562,0.488028903346168
Endogenous1_hsa-miR-98-5p|0_MIMAT0000096,71.0872384412788,-0.33545528782594,0.208215852167746,-1.61109389286886,0.10715925927015,0.488028903346168
Endogenous1_hsa-miR-543|0_MIMAT0004954,23.6797908263263,0.325140885088189,0.205353189762113,1.58332522355675,0.11334735668219,0.488028903346168
Endogenous1_hsa-miR-192-5p|0_MIMAT0000222,37.124848888765,0.406969748444481,0.260170857304035,1.56424033291667,0.117761138595028,0.488028903346168
Endogenous1_hsa-miR-32-5p|0_MIMAT0000090,27.4549951488352,-0.230737512351578,0.152243020580223,-1.51558679979022,0.129623866934338,0.488028903346168
Endogenous1_hsa-miR-15b-5p|0_MIMAT0000417,271.201422826785,-0.362943497200873,0.239987459804784,-1.51234359285317,0.130446476611996,0.488028903346168
Endogenous1_hsa-miR-409-3p|0_MIMAT0001639,15.5394768067588,0.302996148451916,0.202924357789147,1.49314824377442,0.135398386463592,0.488028903346168
Endogenous1_hsa-miR-503-5p|0_MIMAT0002874,25.644613216654,0.338472709307962,0.229568188439695,1.47438855360779,0.140377004568132,0.488028903346168
Endogenous1_hsa-miR-18a-5p|0_MIMAT0000072,26.9541319979289,0.157006806028929,0.107161827245918,1.46513744739184,0.142883421662776,0.488028903346168
Endogenous1_hsa-miR-139-3p|0_MIMAT0004552,24.1111981774237,0.350552444884041,0.243197917096681,1.44142864819308,0.149463621637311,0.488028903346168
Endogenous1_hsa-miR-106a-5p+hsa-miR-17-5p|0_MIMAT0000103,114.781696298165,-0.288838606494938,0.203144060348368,-1.42184125885647,0.155072339022829,0.488028903346168
Endogenous1_hsa-miR-495-3p|0_MIMAT0002817,28.1573138325098,0.292631114133676,0.205886659403948,1.42132139586342,0.155223346178713,0.488028903346168
