rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-320e|0_MIMAT0015072,57.7175134834755,-1.44517753385309,0.290755535472634,-4.97042139371104,6.6807542925843e-07,0.000317335828897754
Endogenous1_hsa-miR-144-3p|0_MIMAT0000436,21.058815236095,-1.23184861216939,0.270756966240079,-4.54964697409525,5.37359906848486e-06,0.000983511572440425
Endogenous1_hsa-miR-21-5p|0_MIMAT0000076,24.1016151138811,-1.14794600988373,0.254023515246003,-4.5190541071445,6.21165203646584e-06,0.000983511572440425
Endogenous1_hsa-miR-1290|0_MIMAT0005880,21.9990369085639,0.855106098911124,0.216031127892027,3.95825410557736,7.54996128502948e-05,0.00896557902597251
Endogenous1_hsa-miR-514b-5p|0_MIMAT0015087,26.9614998379119,0.822238362805903,0.216062375809419,3.80556012922477,0.000141483635858682,0.0133995739892747
Endogenous1_hsa-miR-1262|0_MIMAT0005914,19.6281249267128,0.868349250102994,0.233121539125725,3.72487781849571,0.000195409843668523,0.0133995739892747
Endogenous1_hsa-miR-191-5p|0_MIMAT0000440,33.4908170625902,-0.964429659706459,0.259099642611693,-3.72223461979772,0.000197467406157732,0.0133995739892747
Endogenous1_hsa-miR-133a-5p|0_MIMAT0026478,16.8922098440998,0.868973484321738,0.238294250532592,3.64664058146416,0.000265691147004082,0.0157754118533674
Endogenous1_hsa-miR-134-3p|0_MIMAT0026481,13.9445711210231,0.826762767909572,0.234722445708032,3.52229956285463,0.000427820417341764,0.0189698655732766
Endogenous1_hsa-miR-510-3p|0_MIMAT0026613,13.758660550979,0.840133373047585,0.238872457508585,3.51707928913232,0.000436323424355606,0.0189698655732766
Endogenous1_hsa-miR-597-5p|0_MIMAT0003265,19.3518195926731,0.826006145059999,0.234976386273674,3.51527299469981,0.000439302150117983,0.0189698655732766
Endogenous1_hsa-miR-142-3p|0_MIMAT0000434,36.1272487420189,-0.856587664988084,0.246648084871334,-3.47291431609911,0.000514839691293565,0.0203790711137036
Endogenous1_hsa-miR-378i|0_MIMAT0019074,25.1285454568707,0.802369836200228,0.233461978971578,3.43683301124553,0.000588558345890056,0.0215050164844443
Endogenous1_hsa-miR-378f|0_MIMAT0018932,21.7321404133007,0.741348052764366,0.222934096685665,3.32541349118821,0.000882874933879637,0.0287197930620928
Endogenous1_hsa-miR-223-3p|0_MIMAT0000280,154.188724015914,-0.923164529389463,0.279722616761391,-3.30028561893849,0.000965864751740883,0.0287197930620928
Endogenous1_hsa-miR-4461|0_MIMAT0018983,13.7456175856077,0.787251429875108,0.239486158042267,3.28725232518936,0.00101170139093473,0.0287197930620928
Endogenous1_hsa-miR-630|0_MIMAT0003299,8.9546967740919,-0.908728348335934,0.276816192822833,-3.2827860937945,0.00102786627801174,0.0287197930620928
Endogenous1_hsa-miR-25-5p|0_MIMAT0004498,22.7029262233287,0.732297978787417,0.225085781989692,3.25341730745549,0.00114025907454713,0.0300901700227715
Endogenous1_hsa-miR-576-3p|0_MIMAT0004796,15.2683413406804,0.776278225057721,0.241493999156966,3.21448246237024,0.00130679897372274,0.0326699743430684
Endogenous1_hsa-let-7b-5p|0_MIMAT0000063,37.0020017493236,-0.843738673693495,0.265634406778543,-3.17631546276651,0.00149158653809508,0.0354237183103185
Endogenous1_hsa-miR-548g-3p|0_MIMAT0005912,17.2389780192711,0.70631450300205,0.223365439006961,3.16214767218324,0.00156610123056145,0.0354237183103185
Endogenous1_hsa-miR-337-3p|0_MIMAT0000754,22.7457647185785,0.72792259216948,0.232194341940336,3.13497127486648,0.00171870940221245,0.0358115799271478
Endogenous1_hsa-miR-1185-5p|0_MIMAT0005798,16.1928127160421,0.784097495562303,0.250321144989935,3.13236620739263,0.00173403439647242,0.0358115799271478
Endogenous1_hsa-miR-873-3p|0_MIMAT0022717,26.0102106359398,-0.70919289980875,0.228657766387548,-3.10154739553763,0.00192512051802608,0.0367712047593045
Endogenous1_hsa-miR-548ar-3p|0_MIMAT0022266,21.4813695290653,0.688481293723729,0.223987125856607,3.07375386460597,0.00211383753993074,0.0367712047593045
Endogenous1_hsa-miR-1296-3p|0_MIMAT0026637,11.5667794617586,0.781837721348898,0.25554101202959,3.05953911326909,0.00221677839385454,0.0367712047593045
Endogenous1_hsa-miR-556-5p|0_MIMAT0003220,17.2258891387773,0.721026525952209,0.236293460268687,3.05140279858925,0.00227774784107219,0.0367712047593045
Endogenous1_hsa-miR-211-5p|0_MIMAT0000268,19.2041952228501,0.724656514130386,0.237639679840688,3.04939189707793,0.00229305141621248,0.0367712047593045
Endogenous1_hsa-miR-137|0_MIMAT0000429,18.6323803526452,0.708360559246748,0.232319634116534,3.0490774571874,0.00229545289702958,0.0367712047593045
Endogenous1_hsa-miR-342-3p|0_MIMAT0000753,12.7489108017823,-0.833428414688599,0.273652626389304,-3.04557067726785,0.00232239187953502,0.0367712047593045
Endogenous1_hsa-miR-324-3p|0_MIMAT0000762,20.7166487184982,0.682111329173253,0.22524312025329,3.02833368853267,0.00245906389725026,0.0376792048772218
Endogenous1_hsa-miR-183-5p|0_MIMAT0000261,24.0810029953066,0.677917730433692,0.22754167565539,2.97931237642986,0.00288896094747248,0.0419230223902983
Endogenous1_hsa-miR-639|0_MIMAT0003309,16.5600089455346,0.694693852278331,0.233367749904062,2.97682028713874,0.00291254681869441,0.0419230223902983
Endogenous1_hsa-miR-20a-5p+hsa-miR-20b-5p|0_MIMAT0000075,17.339016169514,-0.842089802814333,0.284688246897563,-2.95793666226529,0.00309705753126822,0.0426226236239444
