rowname,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-421|0_MIMAT0003339,25.6038830723002,-0.579075147704662,-0.592016651668316,0.307587746465505,-1.88263399423034,0.0597499861677522,0.999521914350478
Endogenous1_hsa-let-7c-5p|0_MIMAT0000064,33.9233727352919,-0.443061920010945,-0.441686663458288,0.287724494297017,-1.53988252231864,0.123588991794966,0.999521914350478
Endogenous1_hsa-miR-324-5p|0_MIMAT0000761,24.3688260670948,0.317465648741147,0.319664582732756,0.217674756875185,1.45844035063369,0.144719205394377,0.999521914350478
Endogenous1_hsa-miR-548ar-5p|0.004_MIMAT0022265,39.4791368418524,-0.385559986869475,-0.365774099936482,0.290837657117462,-1.32568798239822,0.184943069688788,0.999521914350478
Endogenous1_hsa-miR-612|0_MIMAT0003280,36.3724387113598,-0.350475182823466,-0.324400728033558,0.313631901782694,-1.11747300204907,0.263792136841802,0.999521914350478
Endogenous1_hsa-miR-520f-3p|0_MIMAT0002830,27.3679848770805,0.324356405779267,0.332566087297356,0.300624065354335,1.07894358156909,0.280612879076223,0.999521914350478
Endogenous1_hsa-miR-378g|0_MIMAT0018937,23.9906220029276,-0.31572574324,-0.315175391737602,0.295765764706915,-1.0674857637863,0.285752538840783,0.999521914350478
Endogenous1_hsa-miR-149-5p|0_MIMAT0000450,28.0370772698309,-0.297797194922805,-0.287887182752885,0.282354805187292,-1.05469143592322,0.291566469844157,0.999521914350478
Endogenous1_hsa-miR-3065-5p|0.004_MIMAT0015066,69.7563761402415,-0.351202636715753,-0.348341909969586,0.348958796621252,-1.00643010039073,0.314208720261313,0.999521914350478
Endogenous1_hsa-miR-299-3p|0_MIMAT0000687,22.8635966257332,-0.313618259522444,-0.316709392814911,0.312039487370864,-1.00505952680823,0.314868187264461,0.999521914350478
Endogenous1_hsa-miR-1537-3p|0_MIMAT0007399,22.1240910707021,-0.280102805736609,-0.280342811465512,0.289746378631866,-0.966717192667628,0.333685429984608,0.999521914350478
Endogenous1_hsa-miR-302d-3p|0.006_MIMAT0000718,102.917596616095,-0.267531851262157,-0.230782063076421,0.281708427420079,-0.949676421512298,0.342276693977959,0.999521914350478
Endogenous1_hsa-miR-32-5p|0_MIMAT0000090,144.282680238145,-0.333544801552422,-0.324670142867563,0.364995242308189,-0.913833285724826,0.360804453344261,0.999521914350478
Endogenous1_hsa-miR-21-5p|0_MIMAT0000076,961.380904788817,-0.287726326394668,-0.305992498796647,0.319794178138213,-0.899723466104861,0.368267432187373,0.999521914350478
Endogenous1_hsa-miR-30e-5p|0_MIMAT0000692,136.688594321761,-0.308143778207661,-0.335274043215902,0.350525511827983,-0.879090873017196,0.379352006036565,0.999521914350478
Endogenous1_hsa-miR-192-5p|0_MIMAT0000222,45.4853514110308,-0.278285384137196,-0.260374779561466,0.330891727499159,-0.841016444383318,0.400338722063308,0.999521914350478
Endogenous1_hsa-let-7b-5p|0_MIMAT0000063,291.137612914535,-0.268585077049441,-0.279289556669361,0.336869841625001,-0.797296296260402,0.425278970865785,0.999521914350478
Endogenous1_hsa-miR-450a-5p|0_MIMAT0001545,59.9999941435326,-0.2050836193504,-0.195275859317737,0.263649709531235,-0.777864006431244,0.436649189448689,0.999521914350478
Endogenous1_hsa-miR-4516|0_MIMAT0019053,43.4555585362167,-0.253917623674616,-0.257852001566793,0.328018194345379,-0.77409615701762,0.438873929904575,0.999521914350478
Endogenous1_hsa-miR-122-5p|0.008_MIMAT0000421,1828.75588296252,-0.246081164179526,-0.186206267265662,0.353257687361798,-0.696605262909668,0.486049861324241,0.999521914350478
Endogenous1_hsa-miR-199a-3p+hsa-miR-199b-3p|0_MIMAT0000232,28.8494967013724,-0.200891246971963,-0.200940501444578,0.289720225311175,-0.693397386241139,0.488060202103067,0.999521914350478
Endogenous1_hsa-miR-3144-3p|0.004_MIMAT0015015,72.9217676479592,-0.203209594782254,-0.17285340711108,0.297589992148366,-0.682850902731105,0.494701060793765,0.999521914350478
Endogenous1_hsa-miR-130a-3p|0_MIMAT0000425,333.071272266749,-0.304733497210989,-0.312789390368082,0.44723945740117,-0.681365412125626,0.495640302824503,0.999521914350478
Endogenous1_hsa-miR-16-5p|0_MIMAT0000069,648.782729031387,0.280301025866776,0.267473653833792,0.411977903086644,0.680378786742418,0.496264649406555,0.999521914350478
Endogenous1_hsa-miR-301a-3p|0_MIMAT0000688,32.9034118656801,0.192006949416929,0.20429718747667,0.289989423280853,0.662117077390687,0.507896192062814,0.999521914350478
Endogenous1_hsa-miR-6724-5p|0_MIMAT0025856,35.1155805072565,-0.273680029418724,-0.273829630439185,0.413955919650822,-0.661133266676262,0.508526852892538,0.999521914350478
Endogenous1_hsa-miR-378i|0_MIMAT0019074,64.3275491597768,-0.168856965380053,-0.178037800153235,0.256454126567914,-0.658429511896885,0.510262176998422,0.999521914350478
Endogenous1_hsa-miR-146a-5p|0_MIMAT0000449,657.351248192879,0.507104938308271,0.444650630878665,0.780973071752168,0.64932448588854,0.516128662161732,0.999521914350478
Endogenous1_hsa-miR-92a-3p|0_MIMAT0000092,65.6411579825501,-0.198048134450178,-0.205496733647353,0.311269766096313,-0.636258821195303,0.524607739945203,0.999521914350478
Endogenous1_hsa-miR-29a-3p|0_MIMAT0000086,497.821596153755,0.172260003607647,0.160898931505107,0.279170742869368,0.617041749565612,0.537207188452939,0.999521914350478
Endogenous1_hsa-miR-340-5p|0_MIMAT0004692,97.7243967124724,-0.157639515144765,-0.157500319071878,0.261165417685558,-0.603600264314331,0.54610943705228,0.999521914350478
Endogenous1_hsa-miR-26b-5p|0_MIMAT0000083,94.547787684142,-0.143986197964516,-0.153496135040718,0.241170308103116,-0.597031197982099,0.550486551565665,0.999521914350478
Endogenous1_hsa-miR-374a-5p|0_MIMAT0000727,503.82724353294,-0.179479218209154,-0.185964978231154,0.301842559498866,-0.594612033860085,0.552102834240666,0.999521914350478
Endogenous1_hsa-miR-532-5p|0_MIMAT0002888,24.1707661218232,0.126377564670803,0.126684078286006,0.217352314827614,0.581441079985898,0.560943217613548,0.999521914350478
Endogenous1_hsa-miR-365a-3p+hsa-miR-365b-3p|0_MIMAT0000710,118.246975586073,0.174673452141248,0.172675993131082,0.300461458549495,0.581350609773712,0.561004177663593,0.999521914350478
Endogenous1_hsa-miR-582-5p|0_MIMAT0003247,30.5974785241098,-0.168700642532559,-0.159251910623454,0.296339551331846,-0.569281561554521,0.569165077726115,0.999521914350478
Endogenous1_hsa-miR-29b-3p|0_MIMAT0000100,2785.24949663463,-0.208721194645644,-0.234369988736272,0.374565242916059,-0.557235885050922,0.577366274766587,0.999521914350478
Endogenous1_hsa-miR-378e|0.021_MIMAT0018927,129.445668444519,-0.171254326775208,-0.155250657068641,0.324575671916247,-0.527625270754729,0.59775944976581,0.999521914350478
Endogenous1_hsa-miR-593-3p|0_MIMAT0004802,31.4075198022641,-0.194239494021919,-0.21468292795437,0.377354874117554,-0.514739592210513,0.60673500277482,0.999521914350478
Endogenous1_hsa-miR-196a-5p|0_MIMAT0000226,68.0035878854378,0.127206595550369,0.136654331866988,0.248243388047217,0.512426923234604,0.608352252264472,0.999521914350478
Endogenous1_hsa-miR-107|0_MIMAT0000104,66.1624463776906,0.161221717765947,0.135145157753909,0.325457603124636,0.495369339103154,0.620339433649379,0.999521914350478
Endogenous1_hsa-miR-28-5p|0_MIMAT0000085,184.663972235931,-0.115479457493635,-0.111093364301311,0.234939328060332,-0.491528848945972,0.623052453042292,0.999521914350478
Endogenous1_hsa-let-7e-5p|0_MIMAT0000066,79.5400298238464,-0.198655977251532,-0.201187030492819,0.404365464078041,-0.491278298715421,0.623229626516125,0.999521914350478
Endogenous1_hsa-miR-106a-5p+hsa-miR-17-5p|0_MIMAT0000103,242.374497587447,-0.209951280246072,-0.219288510389502,0.428494213301143,-0.48997459879002,0.624151873471274,0.999521914350478
Endogenous1_hsa-miR-423-3p|0_MIMAT0001340,58.4639661748285,-0.102013506987184,-0.102461236420891,0.209665493272298,-0.486553630714502,0.626574690506076,0.999521914350478
Endogenous1_hsa-miR-424-5p|0_MIMAT0001341,116.562219969379,-0.15446831362428,-0.131519577968199,0.3200963426706,-0.482568192861977,0.629402367950484,0.999521914350478
Endogenous1_hsa-miR-181a-5p|0_MIMAT0000256,107.752126965774,-0.143400038299728,-0.1205291272472,0.297785683273002,-0.481554508341701,0.630122449200849,0.999521914350478
Endogenous1_hsa-miR-19b-3p|0_MIMAT0000074,224.286452095161,0.18888226975054,0.167741104045983,0.392505500325158,0.481221969103788,0.630358748492736,0.999521914350478
Endogenous1_hsa-miR-34a-5p|0_MIMAT0000255,27.0223203997647,0.136820375021367,0.146764257405153,0.286610428189451,0.477374029569251,0.633095803986521,0.999521914350478
Endogenous1_hsa-miR-15b-5p|0_MIMAT0000417,609.78082842195,-0.19410569887876,-0.196859984682315,0.408898342653005,-0.47470404898041,0.634997931562394,0.999521914350478
Endogenous1_hsa-miR-140-5p|0_MIMAT0000431,52.9151366951917,0.0919975216111263,0.0838527578061664,0.19625460485803,0.468766180939688,0.639236775810476,0.999521914350478
Endogenous1_hsa-miR-148b-3p|0_MIMAT0000759,53.4207692030855,-0.116911587373914,-0.106738118152835,0.258385409657509,-0.452469771915068,0.650930592894977,0.999521914350478
Endogenous1_hsa-miR-155-5p|0_MIMAT0000646,165.491172907985,0.162928243714751,0.181196737232006,0.367297590919806,0.443586475225001,0.657341585788728,0.999521914350478
